"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
216,"1","2024-01-15T13:29:50.876030Z",213,"[{""start"":0,""end"":4,""text"":""鸡白冠病"",""labels"":[""disease""]},{""start"":6,""end"":14,""text"":""鸡住白细胞原虫病"",""labels"":[""disease""]},{""start"":17,""end"":23,""text"":""住白细胞原虫"",""labels"":[""disease""]},{""start"":26,""end"":29,""text"":""红细胞"",""labels"":[""bodypart""]},{""start"":30,""end"":34,""text"":""单核细胞"",""labels"":[""bodypart""]},{""start"":48,""end"":52,""text"":""寄生虫病"",""labels"":[""bodypart""]},{""start"":40,""end"":42,""text"":""贫血"",""labels"":[""pathology""]}]",4818.725,"鸡白冠病又称鸡住白细胞原虫病,是由住白细胞原虫寄生于红细胞和单核细胞引起的一种以贫血为主要特征的寄生虫病。","2024-01-15T14:49:43.639540Z"
217,"1","2024-01-15T14:56:35.201064Z",214,"[{""start"":3,""end"":11,""text"":""卡氏住白细胞原虫"",""labels"":[""disease""]},{""start"":12,""end"":20,""text"":""沙氏住白细胞原虫"",""labels"":[""disease""]},{""start"":25,""end"":33,""text"":""卡氏住白细胞原虫"",""labels"":[""disease""]},{""start"":43,""end"":49,""text"":""雏鸡大批死亡"",""labels"":[""symptom""]},{""start"":50,""end"":56,""text"":""中鸡发育受阻"",""labels"":[""symptom""]},{""start"":57,""end"":61,""text"":""成鸡贫血"",""labels"":[""symptom""]},{""start"":59,""end"":61,""text"":""贫血"",""labels"":[""symptom""]},{""start"":52,""end"":56,""text"":""发育受阻"",""labels"":[""symptom""]},{""start"":43,""end"":45,""text"":""雏鸡"",""labels"":[""type""]},{""start"":50,""end"":52,""text"":""中鸡"",""labels"":[""type""]},{""start"":57,""end"":59,""text"":""成鸡"",""labels"":[""type""]}]",35.163,"主要由卡氏住白细胞原虫和沙氏住白细胞原虫引起,尤以卡氏住白细胞原虫危害最为严重,可引起雏鸡大批死亡,中鸡发育受阻,成鸡贫血。该病在我国南方地区多发于4~10月,北方地区多发于7~9月。","2024-01-15T14:56:35.201064Z"
218,"1","2024-01-15T14:57:04.613960Z",215,"[{""start"":0,""end"":4,""text"":""鸡白冠病"",""labels"":[""disease""]},{""start"":5,""end"":12,""text"":""鸡住白细胞原虫"",""labels"":[""disease""]},{""start"":15,""end"":16,""text"":""鸡"",""labels"":[""type""]},{""start"":17,""end"":20,""text"":""白细胞"",""labels"":[""bodypart""]},{""start"":21,""end"":24,""text"":""红细胞"",""labels"":[""bodypart""]},{""start"":30,""end"":35,""text"":""血孢子虫病"",""labels"":[""disease""]},{""start"":36,""end"":43,""text"":""鸡住白细胞原虫"",""labels"":[""disease""]},{""start"":50,""end"":58,""text"":""卡氏住白细胞原虫"",""labels"":[""disease""]}]",25.16,"鸡白冠病是鸡住白细胞原虫寄生于鸡的白细胞和红细胞内引起的一种血孢子虫病；鸡住白细胞原虫有多种，其中以卡氏住白细胞原虫最常见，且危害最严重。","2024-01-15T14:57:04.613960Z"
215,"1","2024-01-15T13:29:16.769966Z",216,"[{""start"":14,""end"":15,""text"":""鸡"",""labels"":[""type""]},{""start"":17,""end"":30,""text"":""肌肉组织和内脏器官广泛出血"",""labels"":[""pathology""]},{""start"":28,""end"":30,""text"":""出血"",""labels"":[""pathology""]},{""start"":17,""end"":21,""text"":""肌肉组织"",""labels"":[""bodypart""]},{""start"":22,""end"":26,""text"":""内脏器官"",""labels"":[""bodypart""]},{""start"":34,""end"":40,""text"":""鸡冠失血苍白"",""labels"":[""pathology""]},{""start"":51,""end"":54,""text"":""蚊子病"",""labels"":[""disease""]},{""start"":34,""end"":36,""text"":""鸡冠"",""labels"":[""bodypart""]},{""start"":36,""end"":38,""text"":""失血"",""labels"":[""pathology""]},{""start"":38,""end"":40,""text"":""苍白"",""labels"":[""pathology""]}]",55.307,"一般以夏秋季多发生，受感染的鸡只以肌肉组织和内脏器官广泛出血为特征，鸡冠失血苍白而得名，有些地方也称为蚊子病。","2024-01-15T13:29:16.769966Z"
219,"1","2024-01-15T15:04:42.194814Z",217,"[{""start"":4,""end"":6,""text"":""病鸡"",""labels"":[""type""]},{""start"":8,""end"":12,""text"":""尸体消瘦"",""labels"":[""symptom""]},{""start"":13,""end"":19,""text"":""血液变得稀薄"",""labels"":[""pathology""]},{""start"":20,""end"":22,""text"":""稀淡"",""labels"":[""pathology""]},{""start"":26,""end"":43,""text"":""腿肌有明显的芝麻状大小出血点或雪斑"",""labels"":[""pathology""]},{""start"":44,""end"":48,""text"":""肌肉苍白"",""labels"":[""pathology""]},{""start"":46,""end"":48,""text"":""苍白"",""labels"":[""pathology""]},{""start"":17,""end"":19,""text"":""稀薄"",""labels"":[""pathology""]},{""start"":37,""end"":40,""text"":""出血点"",""labels"":[""pathology""]},{""start"":41,""end"":43,""text"":""雪斑"",""labels"":[""pathology""]},{""start"":49,""end"":55,""text"":""肝脾肿大脆弱"",""labels"":[""pathology""]},{""start"":51,""end"":53,""text"":""肿大"",""labels"":[""pathology""]},{""start"":53,""end"":55,""text"":""脆弱"",""labels"":[""pathology""]},{""start"":56,""end"":59,""text"":""出血点"",""labels"":[""pathology""]},{""start"":60,""end"":64,""text"":""白点结节"",""labels"":[""pathology""]},{""start"":13,""end"":15,""text"":""血液"",""labels"":[""bodypart""]},{""start"":23,""end"":25,""text"":""胸肌"",""labels"":[""bodypart""]},{""start"":26,""end"":28,""text"":""腿肌"",""labels"":[""bodypart""]},{""start"":44,""end"":46,""text"":""肌肉"",""labels"":[""bodypart""]},{""start"":49,""end"":51,""text"":""肝脾"",""labels"":[""bodypart""]}]",396.793,"病变剖检病鸡可见尸体消瘦，血液变得稀薄、稀淡，胸肌、腿肌有明显的芝麻状大小出血点或雪斑，肌肉苍白，肝脾肿大脆弱以出血点或白点结节为特征。","2024-01-15T15:04:42.195808Z"
220,"1","2024-01-15T15:07:17.638811Z",218,"[{""start"":5,""end"":7,""text"":""雏鸡"",""labels"":[""type""]},{""start"":12,""end"":14,""text"":""病鸡"",""labels"":[""type""]},{""start"":14,""end"":18,""text"":""体温升高"",""labels"":[""symptom""]},{""start"":19,""end"":23,""text"":""食欲不振"",""labels"":[""symptom""]},{""start"":24,""end"":28,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":29,""end"":31,""text"":""流涎"",""labels"":[""symptom""]},{""start"":32,""end"":42,""text"":""排黄白色或黄绿色稀粪"",""labels"":[""symptom""]},{""start"":37,""end"":40,""text"":""黄绿色"",""labels"":[""symptom""]},{""start"":33,""end"":36,""text"":""黄白色"",""labels"":[""symptom""]},{""start"":43,""end"":49,""text"":""生长发育受阻"",""labels"":[""symptom""]},{""start"":50,""end"":54,""text"":""羽毛松乱"",""labels"":[""symptom""]},{""start"":58,""end"":62,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":63,""end"":65,""text"":""咯血"",""labels"":[""symptom""]},{""start"":71,""end"":76,""text"":""产蛋率下降"",""labels"":[""symptom""]},{""start"":52,""end"":54,""text"":""松乱"",""labels"":[""symptom""]},{""start"":67,""end"":69,""text"":""蛋鸡"",""labels"":[""type""]},{""start"":41,""end"":42,""text"":""粪"",""labels"":[""bodypart""]},{""start"":50,""end"":52,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":64,""end"":65,""text"":""血"",""labels"":[""bodypart""]}]",148.697,"发生本病的雏鸡症状明显，病鸡体温升高，食欲不振，精神沉郁，流涎，排黄白色或黄绿色稀粪，生长发育受阻，羽毛松乱，行走、呼吸困难，咯血等。蛋鸡一般产蛋率下降10%左右。","2024-01-15T15:07:17.638811Z"
221,"1","2024-01-15T15:08:51.432911Z",219,"[{""start"":2,""end"":4,""text"":""病鸡"",""labels"":[""type""]},{""start"":11,""end"":13,""text"":""贫血"",""labels"":[""pathology""]},{""start"":14,""end"":21,""text"":""鸡冠苍白无血色"",""labels"":[""pathology""]},{""start"":16,""end"":18,""text"":""苍白"",""labels"":[""pathology""]},{""start"":18,""end"":21,""text"":""无血色"",""labels"":[""pathology""]},{""start"":28,""end"":32,""text"":""尸体消瘦"",""labels"":[""symptom""]},{""start"":33,""end"":37,""text"":""血液稀薄"",""labels"":[""symptom""]},{""start"":35,""end"":37,""text"":""稀薄"",""labels"":[""symptom""]},{""start"":38,""end"":44,""text"":""全身肌肉苍白"",""labels"":[""symptom""]},{""start"":42,""end"":44,""text"":""苍白"",""labels"":[""symptom""]},{""start"":47,""end"":50,""text"":""脾肿大"",""labels"":[""pathology""]},{""start"":48,""end"":50,""text"":""肿大"",""labels"":[""pathology""]},{""start"":51,""end"":57,""text"":""表面有出血点"",""labels"":[""pathology""]},{""start"":57,""end"":69,""text"":""，肝上有粟粒大的白色结节"",""labels"":[""pathology""]},{""start"":65,""end"":67,""text"":""白色"",""labels"":[""pathology""]},{""start"":14,""end"":16,""text"":""鸡冠"",""labels"":[""bodypart""]},{""start"":24,""end"":26,""text"":""病鸡"",""labels"":[""type""]},{""start"":33,""end"":35,""text"":""血液"",""labels"":[""bodypart""]},{""start"":40,""end"":42,""text"":""肌肉"",""labels"":[""bodypart""]},{""start"":45,""end"":46,""text"":""肝"",""labels"":[""bodypart""]},{""start"":47,""end"":48,""text"":""脾"",""labels"":[""bodypart""]},{""start"":58,""end"":59,""text"":""肝"",""labels"":[""bodypart""]}]",80.842,"所有病鸡最明显的特征是贫血，鸡冠苍白无血色。剖检病鸡可见尸体消瘦，血液稀薄，全身肌肉苍白。肝、脾肿大，表面有出血点，肝上有粟粒大的白色结节。","2024-01-15T15:08:51.432911Z"
222,"1","2024-01-15T15:09:22.829476Z",220,"[{""start"":0,""end"":5,""text"":""消化道充血"",""labels"":[""pathology""]},{""start"":3,""end"":5,""text"":""充血"",""labels"":[""pathology""]},{""start"":6,""end"":11,""text"":""腹腔有血水"",""labels"":[""pathology""]},{""start"":12,""end"":16,""text"":""肾脏出血"",""labels"":[""pathology""]},{""start"":14,""end"":16,""text"":""出血"",""labels"":[""pathology""]},{""start"":17,""end"":33,""text"":""腿肌与胸肌上有针尖大小的点状出血"",""labels"":[""pathology""]},{""start"":29,""end"":33,""text"":""点状出血"",""labels"":[""pathology""]},{""start"":0,""end"":3,""text"":""消化道"",""labels"":[""bodypart""]},{""start"":6,""end"":8,""text"":""腹腔"",""labels"":[""bodypart""]},{""start"":12,""end"":14,""text"":""肾脏"",""labels"":[""bodypart""]},{""start"":17,""end"":19,""text"":""腿肌"",""labels"":[""bodypart""]},{""start"":20,""end"":22,""text"":""胸肌"",""labels"":[""bodypart""]}]",26.754,"消化道充血，腹腔有血水。肾脏出血，腿肌与胸肌上有针尖大小的点状出血。","2024-01-15T15:09:22.829476Z"
223,"1","2024-01-15T15:09:50.204936Z",221,"[{""start"":55,""end"":56,""text"":""鸡"",""labels"":[""type""]},{""start"":66,""end"":68,""text"":""病鸡"",""labels"":[""type""]},{""start"":69,""end"":71,""text"":""死鸡"",""labels"":[""type""]},{""start"":75,""end"":76,""text"":""鸡"",""labels"":[""type""]},{""start"":78,""end"":82,""text"":""咯出血痰"",""labels"":[""symptom""]},{""start"":83,""end"":89,""text"":""死后口角流血"",""labels"":[""symptom""]},{""start"":85,""end"":87,""text"":""口角"",""labels"":[""bodypart""]}]",23.331,"根据发病季节、临诊症状及剖检变化可以作出初步诊断，结合采血涂片镜检看到虫体可以确诊。发病急，平时稍不注意，在喂鸡时发现墙角落处倦缩的病鸡或死鸡，严重的鸡只会咯出血痰或死后口角流血。发病天龄多在15-35天左右。","2024-01-15T15:09:50.204936Z"
224,"1","2024-01-15T15:11:03.761609Z",222,"[{""start"":0,""end"":3,""text"":""病死鸡"",""labels"":[""type""]},{""start"":3,""end"":7,""text"":""血液稀薄"",""labels"":[""symptom""]},{""start"":5,""end"":7,""text"":""稀薄"",""labels"":[""symptom""]},{""start"":8,""end"":12,""text"":""不易凝固"",""labels"":[""symptom""]},{""start"":13,""end"":19,""text"":""肌肉色泽苍白"",""labels"":[""symptom""]},{""start"":17,""end"":19,""text"":""苍白"",""labels"":[""symptom""]},{""start"":48,""end"":60,""text"":""有许多粟粒大的出血小结节"",""labels"":[""symptom""]},{""start"":61,""end"":68,""text"":""肝脏及脾脏肿大"",""labels"":[""pathology""]},{""start"":66,""end"":68,""text"":""肿大"",""labels"":[""pathology""]},{""start"":69,""end"":71,""text"":""出血"",""labels"":[""pathology""]},{""start"":72,""end"":81,""text"":""表面有灰白色坏死点"",""labels"":[""pathology""]},{""start"":75,""end"":78,""text"":""灰白色"",""labels"":[""pathology""]},{""start"":3,""end"":5,""text"":""血液"",""labels"":[""bodypart""]},{""start"":13,""end"":15,""text"":""肌肉"",""labels"":[""bodypart""]},{""start"":20,""end"":21,""text"":""胸"",""labels"":[""bodypart""]},{""start"":22,""end"":25,""text"":""腿肌肉"",""labels"":[""bodypart""]},{""start"":26,""end"":28,""text"":""胰脏"",""labels"":[""bodypart""]},{""start"":29,""end"":33,""text"":""肠管表面"",""labels"":[""bodypart""]},{""start"":34,""end"":35,""text"":""心"",""labels"":[""bodypart""]},{""start"":36,""end"":37,""text"":""肝"",""labels"":[""bodypart""]},{""start"":38,""end"":39,""text"":""脾"",""labels"":[""bodypart""]},{""start"":42,""end"":48,""text"":""腹部皮下脂肪"",""labels"":[""bodypart""]},{""start"":61,""end"":63,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":64,""end"":66,""text"":""脾脏"",""labels"":[""bodypart""]}]",67.879,"病死鸡血液稀薄、不易凝固,肌肉色泽苍白,胸、腿肌肉,胰脏、肠管表面,心、肝、脾表面及腹部皮下脂肪有许多粟粒大的出血小结节,肝脏及脾脏肿大、出血,表面有灰白色坏死点。","2024-01-15T15:11:03.761609Z"
